repo,url,stars,language,category,file
volcengine/openviking,https://github.com/volcengine/openviking,24247,Python,工具,volcengine_openviking.md
letta-ai/letta,https://github.com/letta-ai/letta,22833,Python,框架,letta-ai_letta.md
lsdefine/genericagent,https://github.com/lsdefine/genericagent,11837,Python,框架,lsdefine_genericagent.md
memtensor/memos,https://github.com/memtensor/memos,9211,TypeScript,评测,memtensor_memos.md
evomap/evolver,https://github.com/evomap/evolver,7507,JavaScript,框架,evomap_evolver.md
hkuds/openspace,https://github.com/hkuds/openspace,6277,Python,框架,hkuds_openspace.md
aiwaves-cn/agents,https://github.com/aiwaves-cn/agents,5927,Python,框架,aiwaves-cn_agents.md
evermind-ai/everos,https://github.com/evermind-ai/everos,5128,Python,评测,evermind-ai_everos.md
nousresearch/hermes-agent-self-evolution,https://github.com/nousresearch/hermes-agent-self-evolution,3401,Python,应用,nousresearch_hermes-agent-self-evolution.md
noahshinn/reflexion,https://github.com/noahshinn/reflexion,3155,Python,论文代码,noahshinn_reflexion.md
evoagentx/evoagentx,https://github.com/evoagentx/evoagentx,3023,Python,框架,evoagentx_evoagentx.md
facebookresearch/hyperagents,https://github.com/facebookresearch/hyperagents,2503,Python,应用,facebookresearch_hyperagents.md
sentrux/sentrux,https://github.com/sentrux/sentrux,2357,Rust,框架,sentrux_sentrux.md
evoagentx/awesome-self-evolving-agents,https://github.com/evoagentx/awesome-self-evolving-agents,2162,N/A,工具,evoagentx_awesome-self-evolving-agents.md
jennyzzt/dgm,https://github.com/jennyzzt/dgm,2054,Python,应用,jennyzzt_dgm.md
chrisworsey55/atlas-gic,https://github.com/chrisworsey55/atlas-gic,1862,Python,应用,chrisworsey55_atlas-gic.md
os-copilot/os-copilot,https://github.com/os-copilot/os-copilot,1772,Python,框架,os-copilot_os-copilot.md
yologdev/yoyo-evolve,https://github.com/yologdev/yoyo-evolve,1764,Rust,应用,yologdev_yoyo-evolve.md
modelscope/agentevolver,https://github.com/modelscope/agentevolver,1442,Python,应用,modelscope_agentevolver.md
amap-ml/skillclaw,https://github.com/amap-ml/skillclaw,1390,Python,应用,amap-ml_skillclaw.md
aiming-lab/agent0,https://github.com/aiming-lab/agent0,1193,Python,论文代码,aiming-lab_agent0.md
