rank,author,records,kind,platforms,categories,github,linkedin,x,scholar,confidence,search_status,representative_works
1,Anthropic,13,publisher_org:13,Anthropic Blog:11; Dev.to:1,tutorial_or_implementation:6; agent_discussion_resource:3,https://github.com/anthropics<br>https://github.com/anthropics/skills,https://www.linkedin.com/company/anthropicresearch<br>https://www.linkedin.com/news/story/anthropic-adds-a-new-coding-agent-7102321/,https://x.com/AnthropicAI?lang=en,https://scholar.google.com/citations?user=lmQmYPgAAAAJ&hl=en,medium,ok,Building Effective AI Agents \ Anthropic || Claude's extended thinking \ Anthropic || Developing a computer use model - Anthropic
2,Microsoft,12,publisher_org:12,YouTube:10; Dev.to:1,tutorial_or_implementation:9; agent_discussion_resource:2,https://github.com/microsoft/agent-framework<br>https://github.com/microsoft/ai-agents-for-beginners,https://www.linkedin.com/learning/building-ai-agents-for-beginners-by-microsoft<br>https://www.linkedin.com/news/story/microsoft-envisions-ai-agent-future-6855217/,https://x.com/satyanadella?lang=en,https://arxiv.org/html/2411.04468v1<br>https://scholar.google.com/citations?user=IiSNwnAAAAAJ&hl=en,medium,ok,Build your first Command bot for Microsoft Teams with Teams Toolkit for Visual Studio Code - YouTube || Building Declarative Agents with API Plugins for Microsoft 365 Copilot - YouTube || Building a bot for Microsoft Teams which detects user presence changes - YouTube
3,Modal Labs,10,publisher_org:10,modal.com:9; frontend.modal.com:1,tutorial_or_implementation:6; agent_framework:4,https://github.com/modal-labs<br>https://github.com/modal-labs/devlooper,https://www.linkedin.com/company/modal-labs<br>https://www.linkedin.com/company/modal-labs#:~:text=AI%20infrastructure%20that%20developers%20love.,unknown,unknown,medium,ok,Open-source AI agents || Autoscaling Autoresearch: Give your agents elastic GPUs on Modal || Building with Modal and the OpenAI Agents SDK
4,Humanloop,10,publisher_org:10,humanloop.com:10,tutorial_or_implementation:7; evaluation_benchmark:3,https://github.com/humanloop,https://www.linkedin.com/posts/vishgain_the-team-behind-london-ai-startup-humanloop-activity-7361399597623111680-m2gq,https://x.com/humanloop,unknown,medium,ok,5 LLM Evaluation Tools You Should Know in 2025 - Humanloop || A look back at 2024: How Humanloop has evolved || Building Reliable Agents with Ironclad - Humanloop
5,Lince Mathew,6,byline:6,Medium/TDS:6,self_evolving_agent:6,https://github.com/LinceMathew<br>https://github.com/LinceMathew,https://in.linkedin.com/in/lince-07-mathew<br>https://au.linkedin.com/in/lince-mathew-4393aa184,unknown,unknown,medium,ok,"Self-Evolving Agents — II. This is the continuation of going over… | by Lince Mathew | Feb, 2026 | Medium || Self-Evolving Agents — II. This is the continuation of going over… | by Lince Mathew | Feb, 2026 | Medium || Self-Evolving Agents. “A Comprehensive Survey of… | by Lince Mathew | Feb, 2026 | Medium"
6,OpenAI,7,publisher_org:7,OpenAI Blog:7,tutorial_or_implementation:5; agent_framework:2,https://github.com/openai/openai-agents-python<br>https://github.com/openai/openai-agents-js,https://www.linkedin.com/posts/sylviangth_openai-just-dropped-a-34-page-guide-on-how-activity-7319037977022607361-v5PE<br>https://www.linkedin.com/posts/neilhoyne_google-lifeatgoogle-ai-activity-7396895029757227008-anUY,https://x.com/OpenAI?lang=en,https://scholar.google.com/scholar?as_sdt=0&as_vis=1&hl=en&oi=scholart&q=OpenAI+agent+framework+comparison,medium,ok,15 lessons learned building ChatGPT Apps | OpenAI Developers || API blog posts | OpenAI Developers || Blog | OpenAI Developers
7,evoailabs,4,byline:4,Medium/TDS:4,tutorial_or_implementation:2; self_evolving_agent:2,https://github.com/evoailabs/AI-agents-hacks/security<br>https://github.com/evoailabs/AI-agents-hacks/pulls,https://www.linkedin.com/posts/markneely_the-deep-thought-dilemma-why-the-future-activity-7442180007738826752-zTt1,unknown,unknown,medium,ok,"AI That Learns Like Humans: Agents That Grow Smarter Through Memory, Reflection, and Adaptation | by evoailabs | Medium || AI That Learns Like Humans: Agents That Grow Smarter Through Memory, Reflection, and Adaptation | by evoailabs | Medium || Agent 0: How AI Can Evolve from “Nothing” to Expert Without Human Data | by evoailabs | Medium"
8,Jomsborg Lab,4,byline:4,Medium/TDS:4,self_evolving_agent:4,https://github.com/0xMerl99/claw-agent<br>https://github.com/ajoys24/Google_Agents_Intensive_Capstone_Project,unknown,unknown,unknown,medium,ok,Gödel Agent. Self-Improvement | by Jomsborg Lab | Medium || Gödel Agent. Self-Improvement | by Jomsborg Lab | Medium || Gödel Agent. Self-Improvement | by Jomsborg Lab | Medium
9,Weights & Biases,5,publisher_org:5,wandb.ai:4; weave-docs.wandb.ai:1,tutorial_or_implementation:3; evaluation_benchmark:2,https://github.com/wandb<br>https://github.com/wandb/client,"https://www.linkedin.com/company/wandb<br>https://www.linkedin.com/company/wandb#:~:text=Software%20Development,-San%20Francisco%2C%20California%2092%2C361",https://x.com/l2k,unknown,medium,ok,A primer on building successful AI agents - Weights & Biases || Evaluating AI agent applications - Weights & Biases - Wandb || Mastering AI agent observability: From black-box to traceable systems - Weights & Biases
10,EvoAgentX,4,github_owner:4,GitHub Blog/Docs:4,self_evolving_agent:3; tutorial_or_implementation:1,https://github.com/evoagentx/evoagentx<br>https://github.com/EvoAgentX/EvoAgentX.git,https://uk.linkedin.com/company/evoagentx,https://x.com/EvoAgentX,https://arxiv.org/abs/2507.03616,medium,ok,EvoAgentX/Awesome-Self-Evolving-Agents - GitHub || EvoAgentX/EvoAgentX || EvoAgentX/README-zh-TW.md at main - GitHub
