category,stack,count
memory,Markdown,43
evaluation,Markdown,41
evaluation,Python,37
evolution,Markdown,31
evolution,Python,27
education-list,Markdown,26
framework,Markdown,25
research-agent,Python,19
prompt-optimization,Python,13
prompt-optimization,Markdown,12
memory,Python,11
framework,Python,11
coding-agent,Markdown,8
coding-agent,Python,8
research-agent,Markdown,8
education-list,Unknown,8
workflow-automation,Markdown,4
evaluation,TypeScript/JavaScript,3
memory,Shell,3
evaluation,Shell,3
research-agent,Unknown,2
workflow-automation,Python,2
framework,Unknown,2
framework,TypeScript,2
safety,Markdown,1
evaluation,TypeScript,1
evolution,Jupyter Notebook,1
research-agent,Shell,1
memory,Unknown,1
education-list,TypeScript/JavaScript,1
prompt-optimization,TypeScript/JavaScript,1
education-list,Python,1
framework,TypeScript/JavaScript,1
coding-agent,Unknown,1
memory,TypeScript,1
memory,Rust,1
evolution,TypeScript/JavaScript,1
skill,Python,1
evolution,Elixir,1
