label,n,mean,median,std,min,max,p25,p75
memory,96,4988.62,100.5,22226.47,0,202000,10.0,491.0
evaluation,89,174.12,62,378.04,0,2900,5,144
evolution,79,589.39,57,1946.88,0,12600,7.0,295.0
skill,60,9442.67,192.5,31255.94,0,191000,21.75,1650.0
framework,50,7985.76,45.5,52852.65,0,374000,5.5,241.75
education-list,35,188.57,81,256.87,1,1100,3.0,244.0
research-agent,31,166.03,6,251.2,0,816,1.0,294.5
prompt-optimization,26,88.12,23.0,170.72,0,805,3.25,82.25
coding-agent,17,100.82,11,169.01,0,607,0,153
workflow-automation,6,62.17,44.0,73.23,0,189,5.5,88.5
safety,1,10.0,10,0,10,10,10,10
